"adresse";"lat";"lon";"betalt"
"Gårdevej 21B, 6823 Ansager";"55,75767192";"8,67243513";"0"
"Gårdevej 22, 6823 Ansager";"55,74542174";"8,68614231";"0"
"Gårdevej 23, 6823 Ansager";"55,75328779";"8,66915103";"0"
"Gårdevej 25, 6823 Ansager";"55,75280001";"8,67030102";"0"
"Gårdevej 27, 6823 Ansager";"55,75024413";"8,67693555";"0"
"Gårdevej 29, 6823 Ansager";"55,74929651";"8,68160655";"0"
"Gårdevej 31, 6823 Ansager";"55,75329606";"8,68516153";"0"
"Gårdevej 33, 6823 Ansager";"55,74767094";"8,68392825";"0"
"Gårdevej 35, 6823 Ansager";"55,74548696";"8,6877247";"0"
"Gårdevej 37, 6823 Ansager";"55,74384949";"8,69601518";"0"
"Gartnerhaven 1, 6823 Ansager";"55,70539512";"8,75475858";"0"
"Gartnerhaven 2, 6823 Ansager";"55,70545579";"8,75516987";"0"
"Gartnerhaven 3, 6823 Ansager";"55,705702";"8,75476939";"0"
"Gartnerhaven 4, 6823 Ansager";"55,7056819";"8,7552345";"0"
"Gartnerhaven 6, 6823 Ansager";"55,70583277";"8,75528384";"0"
"Gartnerhaven 8, 6823 Ansager";"55,70599803";"8,75533819";"0"
"Græsvangen 1, 6823 Ansager";"55,70743325";"8,75245962";"0"
"Græsvangen 2, 6823 Ansager";"55,70724241";"8,75281952";"0"
"Græsvangen 3, 6823 Ansager";"55,70659608";"8,75595859";"0"
"Græsvangen 4, 6823 Ansager";"55,70719237";"8,75304884";"0"
"Græsvangen 6, 6823 Ansager";"55,70714932";"8,75326506";"0"
"Græsvangen 8, 6823 Ansager";"55,70711632";"8,7534338";"0"
"Græsvangen 10, 6823 Ansager";"55,70707866";"8,75365333";"0"
"Græsvangen 12, 6823 Ansager";"55,70704414";"8,75382573";"0"
"Græsvangen 14, 6823 Ansager";"55,70700259";"8,75402985";"0"
"Græsvangen 16, 6823 Ansager";"55,70698756";"8,75410872";"0"
"Græsvangen 18, 6823 Ansager";"55,70695744";"8,75427648";"0"
"Græsvangen 20, 6823 Ansager";"55,70693627";"8,75438323";"0"
"Græsvangen 22, 6823 Ansager";"55,70686035";"8,75479062";"0"
"Græsvangen 24, 6823 Ansager";"55,70677138";"8,75519316";"0"
"Grødevej 1, 6823 Ansager";"55,70116702";"8,75086464";"0"
"Grødevej 3, 6823 Ansager";"55,70131079";"8,75055982";"0"
"Grødevej 5, 6823 Ansager";"55,70109001";"8,7497612";"0"
"Grødevej 7, 6823 Ansager";"55,7008145";"8,7492643";"0"
"Grødevej 8, 6823 Ansager";"55,70027768";"8,73558408";"0"
